Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
229.665,200,3,6,160,20,1
345.045,400,3,6,160,20,1
414.955,600,3,6,160,20,1
460.46,800,3,6,160,20,1
341.289,1000,3,6,160,20,1
335.344,1200,3,6,160,20,1
414.02,1400,3,6,160,20,1
452.15,1600,3,6,160,20,1
473.924,1800,3,6,160,20,1
430.947,2000,3,6,160,20,1
449.007,2200,3,6,160,20,1
463.788,2400,3,6,160,20,1
473.574,2600,3,6,160,20,1
482.62,2800,3,6,160,20,1
459.016,3000,3,6,160,20,1
466.799,3200,3,6,160,20,1
474.649,3400,3,6,160,20,1
480.326,3600,3,6,160,20,1
487.172,3800,3,6,160,20,1
468.209,4000,3,6,160,20,1
474.992,4200,3,6,160,20,1
477.275,4400,3,6,160,20,1
479.468,4600,3,6,160,20,1
485.929,4800,3,6,160,20,1
474.318,5000,3,6,160,20,1
476.469,5200,3,6,160,20,1
479.827,5400,3,6,160,20,1
486.2,5600,3,6,160,20,1
485.938,5800,3,6,160,20,1
477.886,6000,3,6,160,20,1
478.761,6200,3,6,160,20,1
481.455,6400,3,6,160,20,1
482.925,6600,3,6,160,20,1
487.765,6800,3,6,160,20,1
479.735,7000,3,6,160,20,1
482.917,7200,3,6,160,20,1
483.76,7400,3,6,160,20,1
487.454,7600,3,6,160,20,1
486.01,7800,3,6,160,20,1
480.172,8000,3,6,160,20,1
479.964,8200,3,6,160,20,1
483.452,8400,3,6,160,20,1
488.659,8600,3,6,160,20,1
478.805,8800,3,6,160,20,1
483.461,9000,3,6,160,20,1
484.49,9200,3,6,160,20,1
485.515,9400,3,6,160,20,1
484.643,9600,3,6,160,20,1
481.744,9800,3,6,160,20,1
482.561,10000,3,6,160,20,1
