Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
575.268,200,3,5,160,20,3
629.656,400,3,5,160,20,3
652.265,600,3,5,160,20,3
655.025,800,3,5,160,20,3
597.648,1000,3,5,160,20,3
626.104,1200,3,5,160,20,3
648.557,1400,3,5,160,20,3
659.692,1600,3,5,160,20,3
661.565,1800,3,5,160,20,3
652.497,2000,3,5,160,20,3
658.086,2200,3,5,160,20,3
658.939,2400,3,5,160,20,3
663.483,2600,3,5,160,20,3
664.634,2800,3,5,160,20,3
656.18,3000,3,5,160,20,3
662.835,3200,3,5,160,20,3
665.805,3400,3,5,160,20,3
665.655,3600,3,5,160,20,3
667.546,3800,3,5,160,20,3
661.698,4000,3,5,160,20,3
662.213,4200,3,5,160,20,3
665.275,4400,3,5,160,20,3
664.198,4600,3,5,160,20,3
666.921,4800,3,5,160,20,3
660.438,5000,3,5,160,20,3
668.588,5200,3,5,160,20,3
667.118,5400,3,5,160,20,3
666.286,5600,3,5,160,20,3
669.62,5800,3,5,160,20,3
661.715,6000,3,5,160,20,3
666.073,6200,3,5,160,20,3
668.115,6400,3,5,160,20,3
666.422,6600,3,5,160,20,3
671.028,6800,3,5,160,20,3
662.818,7000,3,5,160,20,3
665.212,7200,3,5,160,20,3
664.529,7400,3,5,160,20,3
668.702,7600,3,5,160,20,3
663.762,7800,3,5,160,20,3
669.687,8000,3,5,160,20,3
665.586,8200,3,5,160,20,3
666.339,8400,3,5,160,20,3
668.846,8600,3,5,160,20,3
668.073,8800,3,5,160,20,3
666.781,9000,3,5,160,20,3
669.337,9200,3,5,160,20,3
663.895,9400,3,5,160,20,3
665.504,9600,3,5,160,20,3
669.011,9800,3,5,160,20,3
669.156,10000,3,5,160,20,3
