Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
53.1725,200,3,2.4,40,20,4
80.6218,400,3,2.4,40,20,4
93.3893,600,3,2.4,40,20,4
103.659,800,3,2.4,40,20,4
42.1159,1000,3,2.4,40,20,4
79.883,1200,3,2.4,40,20,4
93.8019,1400,3,2.4,40,20,4
101.75,1600,3,2.4,40,20,4
107.544,1800,3,2.4,40,20,4
97.0363,2000,3,2.4,40,20,4
101.706,2200,3,2.4,40,20,4
105.096,2400,3,2.4,40,20,4
107.515,2600,3,2.4,40,20,4
109.557,2800,3,2.4,40,20,4
103.399,3000,3,2.4,40,20,4
105.668,3200,3,2.4,40,20,4
107.103,3400,3,2.4,40,20,4
108.455,3600,3,2.4,40,20,4
110.597,3800,3,2.4,40,20,4
105.979,4000,3,2.4,40,20,4
107.231,4200,3,2.4,40,20,4
108.521,4400,3,2.4,40,20,4
109.422,4600,3,2.4,40,20,4
110.777,4800,3,2.4,40,20,4
107.324,5000,3,2.4,40,20,4
108.152,5200,3,2.4,40,20,4
109.011,5400,3,2.4,40,20,4
110.213,5600,3,2.4,40,20,4
110.764,5800,3,2.4,40,20,4
107.616,6000,3,2.4,40,20,4
108.571,6200,3,2.4,40,20,4
109.242,6400,3,2.4,40,20,4
110.477,6600,3,2.4,40,20,4
110.808,6800,3,2.4,40,20,4
108.39,7000,3,2.4,40,20,4
108.738,7200,3,2.4,40,20,4
109.905,7400,3,2.4,40,20,4
110.454,7600,3,2.4,40,20,4
110.926,7800,3,2.4,40,20,4
108.617,8000,3,2.4,40,20,4
109.422,8200,3,2.4,40,20,4
110.088,8400,3,2.4,40,20,4
110.414,8600,3,2.4,40,20,4
108.431,8800,3,2.4,40,20,4
108.828,9000,3,2.4,40,20,4
109.492,9200,3,2.4,40,20,4
110.216,9400,3,2.4,40,20,4
110.695,9600,3,2.4,40,20,4
108.705,9800,3,2.4,40,20,4
109.272,10000,3,2.4,40,20,4
