Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,2.4,40,,2
144.943,400,3,2.4,40,20,2
158.924,600,3,2.4,40,20,2
167.294,800,3,2.4,40,20,2
173.5,1000,3,2.4,40,20,2
178.955,1200,3,2.4,40,20,2
182.186,1400,3,2.4,40,20,2
185.289,1600,3,2.4,40,20,2
187.194,1800,3,2.4,40,20,2
0.0168427,2000,3,2.4,40,20,2
0.0168427,2200,3,2.4,40,20,2
13.2605,2400,3,2.4,40,20,2
21.2157,2600,3,2.4,40,20,2
65.8051,2800,3,2.4,40,20,2
87.5801,3000,3,2.4,40,20,2
95.942,3200,3,2.4,40,20,2
120.451,3400,3,2.4,40,20,2
116.917,3600,3,2.4,40,20,2
111.281,3800,3,2.4,40,20,2
104.905,4000,3,2.4,40,20,2
102.531,4200,3,2.4,40,20,2
0.0168427,4400,3,2.4,40,20,2
0.0168427,4600,3,2.4,40,20,2
0.370779,4800,3,2.4,40,20,2
0.744173,5000,3,2.4,40,20,2
21.915,5200,3,2.4,40,20,2
32.126,5400,3,2.4,40,20,2
29.0494,5600,3,2.4,40,20,2
38.6652,5800,3,2.4,40,20,2
26.4688,6000,3,2.4,40,20,2
37.7134,6200,3,2.4,40,20,2
45.6972,6400,3,2.4,40,20,2
0.0168427,6600,3,2.4,40,20,2
0.0168427,6800,3,2.4,40,20,2
0.0168427,7000,3,2.4,40,20,2
12.7267,7200,3,2.4,40,20,2
4.43838,7400,3,2.4,40,20,2
19.2042,7600,3,2.4,40,20,2
25.527,7800,3,2.4,40,20,2
27.9875,8000,3,2.4,40,20,2
18.9717,8200,3,2.4,40,20,2
30.1107,8400,3,2.4,40,20,2
42.5883,8600,3,2.4,40,20,2
0.0168427,8800,3,2.4,40,20,2
0.0168427,9000,3,2.4,40,20,2
0.0168427,9200,3,2.4,40,20,2
6.72733,9400,3,2.4,40,20,2
10.3904,9600,3,2.4,40,20,2
3.6385,9800,3,2.4,40,20,2
15.8289,10000,3,2.4,40,20,2
