Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
130.378,200,3,2.4,40,20,6
130.795,400,3,2.4,40,20,6
162.826,600,3,2.4,40,20,6
178.461,800,3,2.4,40,20,6
129.705,1000,3,2.4,40,20,6
130.864,1200,3,2.4,40,20,6
170.108,1400,3,2.4,40,20,6
177.35,1600,3,2.4,40,20,6
181.434,1800,3,2.4,40,20,6
174.036,2000,3,2.4,40,20,6
177.159,2200,3,2.4,40,20,6
179.242,2400,3,2.4,40,20,6
181.765,2600,3,2.4,40,20,6
184.353,2800,3,2.4,40,20,6
178.774,3000,3,2.4,40,20,6
180.676,3200,3,2.4,40,20,6
181.476,3400,3,2.4,40,20,6
182.488,3600,3,2.4,40,20,6
184.521,3800,3,2.4,40,20,6
180.342,4000,3,2.4,40,20,6
181.342,4200,3,2.4,40,20,6
182.1,4400,3,2.4,40,20,6
183.366,4600,3,2.4,40,20,6
184.643,4800,3,2.4,40,20,6
180.819,5000,3,2.4,40,20,6
181.755,5200,3,2.4,40,20,6
183.33,5400,3,2.4,40,20,6
183.837,5600,3,2.4,40,20,6
184.425,5800,3,2.4,40,20,6
181.294,6000,3,2.4,40,20,6
182.201,6200,3,2.4,40,20,6
183.271,6400,3,2.4,40,20,6
183.848,6600,3,2.4,40,20,6
184.361,6800,3,2.4,40,20,6
181.529,7000,3,2.4,40,20,6
182.86,7200,3,2.4,40,20,6
183.441,7400,3,2.4,40,20,6
183.745,7600,3,2.4,40,20,6
184.079,7800,3,2.4,40,20,6
182.234,8000,3,2.4,40,20,6
183.186,8200,3,2.4,40,20,6
183.198,8400,3,2.4,40,20,6
183.678,8600,3,2.4,40,20,6
181.884,8800,3,2.4,40,20,6
182.643,9000,3,2.4,40,20,6
183.097,9200,3,2.4,40,20,6
183.532,9400,3,2.4,40,20,6
184.568,9600,3,2.4,40,20,6
182.103,9800,3,2.4,40,20,6
183.061,10000,3,2.4,40,20,6
