Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,2.4,40,,1
145.002,400,3,2.4,40,20,1
158.971,600,3,2.4,40,20,1
167.352,800,3,2.4,40,20,1
173.555,1000,3,2.4,40,20,1
179.012,1200,3,2.4,40,20,1
182.242,1400,3,2.4,40,20,1
185.25,1600,3,2.4,40,20,1
187.245,1800,3,2.4,40,20,1
0.0168427,2000,3,2.4,40,20,1
0.0168427,2200,3,2.4,40,20,1
12.9578,2400,3,2.4,40,20,1
21.4861,2600,3,2.4,40,20,1
65.6525,2800,3,2.4,40,20,1
89.2219,3000,3,2.4,40,20,1
96.4633,3200,3,2.4,40,20,1
120.572,3400,3,2.4,40,20,1
116.57,3600,3,2.4,40,20,1
111.54,3800,3,2.4,40,20,1
104.936,4000,3,2.4,40,20,1
102.554,4200,3,2.4,40,20,1
0.0168427,4400,3,2.4,40,20,1
0.0168427,4600,3,2.4,40,20,1
0.409275,4800,3,2.4,40,20,1
0.796117,5000,3,2.4,40,20,1
21.5594,5200,3,2.4,40,20,1
30.3732,5400,3,2.4,40,20,1
30.4336,5600,3,2.4,40,20,1
37.9385,5800,3,2.4,40,20,1
27.1402,6000,3,2.4,40,20,1
35.6424,6200,3,2.4,40,20,1
46.6572,6400,3,2.4,40,20,1
0.0168427,6600,3,2.4,40,20,1
0.0168427,6800,3,2.4,40,20,1
0.0275969,7000,3,2.4,40,20,1
14.1474,7200,3,2.4,40,20,1
4.53019,7400,3,2.4,40,20,1
17.6867,7600,3,2.4,40,20,1
26.299,7800,3,2.4,40,20,1
26.7954,8000,3,2.4,40,20,1
17.768,8200,3,2.4,40,20,1
30.5424,8400,3,2.4,40,20,1
44.2601,8600,3,2.4,40,20,1
0.0168427,8800,3,2.4,40,20,1
0.0168427,9000,3,2.4,40,20,1
0.0168427,9200,3,2.4,40,20,1
7.2493,9400,3,2.4,40,20,1
10.0585,9600,3,2.4,40,20,1
3.39364,9800,3,2.4,40,20,1
16.6859,10000,3,2.4,40,20,1
