Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,2.4,40,,5
,,,2.4,40,,5
158.924,600,3,2.4,40,20,5
167.294,800,3,2.4,40,20,5
173.5,1000,3,2.4,40,20,5
178.955,1200,3,2.4,40,20,5
182.186,1400,3,2.4,40,20,5
185.289,1600,3,2.4,40,20,5
187.194,1800,3,2.4,40,20,5
0.0168427,2000,3,2.4,40,20,5
0.0168427,2200,3,2.4,40,20,5
13.2605,2400,3,2.4,40,20,5
21.2157,2600,3,2.4,40,20,5
65.8051,2800,3,2.4,40,20,5
87.5801,3000,3,2.4,40,20,5
95.942,3200,3,2.4,40,20,5
120.451,3400,3,2.4,40,20,5
116.917,3600,3,2.4,40,20,5
111.281,3800,3,2.4,40,20,5
104.905,4000,3,2.4,40,20,5
102.531,4200,3,2.4,40,20,5
0.0168427,4400,3,2.4,40,20,5
0.0168427,4600,3,2.4,40,20,5
0.370779,4800,3,2.4,40,20,5
0.744173,5000,3,2.4,40,20,5
21.915,5200,3,2.4,40,20,5
32.126,5400,3,2.4,40,20,5
29.0494,5600,3,2.4,40,20,5
38.6652,5800,3,2.4,40,20,5
26.4688,6000,3,2.4,40,20,5
37.7134,6200,3,2.4,40,20,5
45.6972,6400,3,2.4,40,20,5
0.0168427,6600,3,2.4,40,20,5
0.0168427,6800,3,2.4,40,20,5
0.0168427,7000,3,2.4,40,20,5
12.7267,7200,3,2.4,40,20,5
4.43838,7400,3,2.4,40,20,5
19.2042,7600,3,2.4,40,20,5
25.527,7800,3,2.4,40,20,5
27.9875,8000,3,2.4,40,20,5
18.9717,8200,3,2.4,40,20,5
30.1107,8400,3,2.4,40,20,5
42.5883,8600,3,2.4,40,20,5
0.0168427,8800,3,2.4,40,20,5
0.0168427,9000,3,2.4,40,20,5
0.0168427,9200,3,2.4,40,20,5
6.72733,9400,3,2.4,40,20,5
10.3904,9600,3,2.4,40,20,5
3.6385,9800,3,2.4,40,20,5
15.8289,10000,3,2.4,40,20,5
