Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
524.433,200,3,6,160,20,10
584.953,400,3,6,160,20,10
613.096,600,3,6,160,20,10
625.996,800,3,6,160,20,10
554.218,1000,3,6,160,20,10
583.191,1200,3,6,160,20,10
612.053,1400,3,6,160,20,10
626.48,1600,3,6,160,20,10
632.008,1800,3,6,160,20,10
618.894,2000,3,6,160,20,10
625.958,2200,3,6,160,20,10
628.99,2400,3,6,160,20,10
633.111,2600,3,6,160,20,10
633.674,2800,3,6,160,20,10
625.66,3000,3,6,160,20,10
632.094,3200,3,6,160,20,10
635.932,3400,3,6,160,20,10
634.757,3600,3,6,160,20,10
637.097,3800,3,6,160,20,10
632.049,4000,3,6,160,20,10
633.113,4200,3,6,160,20,10
634.493,4400,3,6,160,20,10
633.576,4600,3,6,160,20,10
635.781,4800,3,6,160,20,10
631.943,5000,3,6,160,20,10
636.169,5200,3,6,160,20,10
635.269,5400,3,6,160,20,10
636.196,5600,3,6,160,20,10
638.889,5800,3,6,160,20,10
632.577,6000,3,6,160,20,10
634.563,6200,3,6,160,20,10
636.766,6400,3,6,160,20,10
635.486,6600,3,6,160,20,10
639.524,6800,3,6,160,20,10
632.483,7000,3,6,160,20,10
635.294,7200,3,6,160,20,10
634.544,7400,3,6,160,20,10
638.565,7600,3,6,160,20,10
635.299,7800,3,6,160,20,10
637.804,8000,3,6,160,20,10
634.5,8200,3,6,160,20,10
635.683,8400,3,6,160,20,10
637.915,8600,3,6,160,20,10
635.672,8800,3,6,160,20,10
635.591,9000,3,6,160,20,10
639.126,9200,3,6,160,20,10
635.008,9400,3,6,160,20,10
634.377,9600,3,6,160,20,10
636.71,9800,3,6,160,20,10
637.303,10000,3,6,160,20,10
