Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
507.596,200,3,5,160,20,2
555.342,400,3,5,160,20,2
582.126,600,3,5,160,20,2
594.058,800,3,5,160,20,2
524.863,1000,3,5,160,20,2
553.194,1200,3,5,160,20,2
581.157,1400,3,5,160,20,2
596.415,1600,3,5,160,20,2
600.866,1800,3,5,160,20,2
588.125,2000,3,5,160,20,2
595.788,2200,3,5,160,20,2
598.765,2400,3,5,160,20,2
604.253,2600,3,5,160,20,2
605.298,2800,3,5,160,20,2
595.181,3000,3,5,160,20,2
602.552,3200,3,5,160,20,2
607.005,3400,3,5,160,20,2
605.785,3600,3,5,160,20,2
606.305,3800,3,5,160,20,2
603.317,4000,3,5,160,20,2
602.768,4200,3,5,160,20,2
603.778,4400,3,5,160,20,2
605.632,4600,3,5,160,20,2
607.99,4800,3,5,160,20,2
602.594,5000,3,5,160,20,2
606.517,5200,3,5,160,20,2
605.963,5400,3,5,160,20,2
605.974,5600,3,5,160,20,2
610.944,5800,3,5,160,20,2
603.072,6000,3,5,160,20,2
605.831,6200,3,5,160,20,2
608.284,6400,3,5,160,20,2
607.206,6600,3,5,160,20,2
609.406,6800,3,5,160,20,2
602.777,7000,3,5,160,20,2
604.829,7200,3,5,160,20,2
605.787,7400,3,5,160,20,2
609.785,7600,3,5,160,20,2
604.977,7800,3,5,160,20,2
608.357,8000,3,5,160,20,2
605.955,8200,3,5,160,20,2
605.764,8400,3,5,160,20,2
607.63,8600,3,5,160,20,2
606.549,8800,3,5,160,20,2
606.437,9000,3,5,160,20,2
610.439,9200,3,5,160,20,2
604.886,9400,3,5,160,20,2
606.594,9600,3,5,160,20,2
607.835,9800,3,5,160,20,2
608.493,10000,3,5,160,20,2
