Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
108.236,200,3,5,160,20,9
137.988,400,3,5,160,20,9
165.09,600,3,5,160,20,9
194.323,800,3,5,160,20,9
103.551,1000,3,5,160,20,9
136.284,1200,3,5,160,20,9
164.618,1400,3,5,160,20,9
189.267,1600,3,5,160,20,9
208.153,1800,3,5,160,20,9
176.234,2000,3,5,160,20,9
188.038,2200,3,5,160,20,9
197.71,2400,3,5,160,20,9
209.266,2600,3,5,160,20,9
219.89,2800,3,5,160,20,9
194.815,3000,3,5,160,20,9
200.904,3200,3,5,160,20,9
208.004,3400,3,5,160,20,9
212.836,3600,3,5,160,20,9
217.791,3800,3,5,160,20,9
202.14,4000,3,5,160,20,9
209.077,4200,3,5,160,20,9
210.158,4400,3,5,160,20,9
215.488,4600,3,5,160,20,9
220.068,4800,3,5,160,20,9
208.058,5000,3,5,160,20,9
210.683,5200,3,5,160,20,9
212.851,5400,3,5,160,20,9
218.402,5600,3,5,160,20,9
220.274,5800,3,5,160,20,9
209.716,6000,3,5,160,20,9
212.189,6200,3,5,160,20,9
215.825,6400,3,5,160,20,9
216.641,6600,3,5,160,20,9
220.334,6800,3,5,160,20,9
213.28,7000,3,5,160,20,9
216.942,7200,3,5,160,20,9
219.134,7400,3,5,160,20,9
220.211,7600,3,5,160,20,9
219.155,7800,3,5,160,20,9
211.913,8000,3,5,160,20,9
215.797,8200,3,5,160,20,9
217.652,8400,3,5,160,20,9
220.642,8600,3,5,160,20,9
212.751,8800,3,5,160,20,9
215.846,9000,3,5,160,20,9
216.013,9200,3,5,160,20,9
217.584,9400,3,5,160,20,9
220.235,9600,3,5,160,20,9
214.752,9800,3,5,160,20,9
214.536,10000,3,5,160,20,9
