Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
187.165,200,3,2.4,40,20,2
186.792,400,3,2.4,40,20,2
210.572,600,3,2.4,40,20,2
212.37,800,3,2.4,40,20,2
187.26,1000,3,2.4,40,20,2
208.855,1200,3,2.4,40,20,2
210.81,1400,3,2.4,40,20,2
212.154,1600,3,2.4,40,20,2
213.23,1800,3,2.4,40,20,2
211.528,2000,3,2.4,40,20,2
212.361,2200,3,2.4,40,20,2
212.85,2400,3,2.4,40,20,2
213.211,2600,3,2.4,40,20,2
214.115,2800,3,2.4,40,20,2
212.651,3000,3,2.4,40,20,2
213.127,3200,3,2.4,40,20,2
213.411,3400,3,2.4,40,20,2
213.618,3600,3,2.4,40,20,2
214.18,3800,3,2.4,40,20,2
212.982,4000,3,2.4,40,20,2
213.262,4200,3,2.4,40,20,2
213.444,4400,3,2.4,40,20,2
213.536,4600,3,2.4,40,20,2
214.113,4800,3,2.4,40,20,2
212.918,5000,3,2.4,40,20,2
213.474,5200,3,2.4,40,20,2
213.884,5400,3,2.4,40,20,2
213.843,5600,3,2.4,40,20,2
214.028,5800,3,2.4,40,20,2
212.912,6000,3,2.4,40,20,2
213.639,6200,3,2.4,40,20,2
214.025,6400,3,2.4,40,20,2
213.685,6600,3,2.4,40,20,2
214.54,6800,3,2.4,40,20,2
213.451,7000,3,2.4,40,20,2
213.775,7200,3,2.4,40,20,2
213.698,7400,3,2.4,40,20,2
213.781,7600,3,2.4,40,20,2
214.01,7800,3,2.4,40,20,2
213.816,8000,3,2.4,40,20,2
213.545,8200,3,2.4,40,20,2
213.531,8400,3,2.4,40,20,2
214.069,8600,3,2.4,40,20,2
213.515,8800,3,2.4,40,20,2
213.569,9000,3,2.4,40,20,2
213.909,9200,3,2.4,40,20,2
213.876,9400,3,2.4,40,20,2
214.028,9600,3,2.4,40,20,2
213.734,9800,3,2.4,40,20,2
214.135,10000,3,2.4,40,20,2
