Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,5,160,,10
,,,5,160,,10
397.101,600,3,5,160,20,10
439.925,800,3,5,160,20,10
471.418,1000,3,5,160,20,10
493.534,1200,3,5,160,20,10
511.118,1400,3,5,160,20,10
527.947,1600,3,5,160,20,10
536.029,1800,3,5,160,20,10
0.0182753,2000,3,5,160,20,10
0.0182753,2200,3,5,160,20,10
23.0167,2400,3,5,160,20,10
42.3781,2600,3,5,160,20,10
214.277,2800,3,5,160,20,10
324.313,3000,3,5,160,20,10
280.078,3200,3,5,160,20,10
340.954,3400,3,5,160,20,10
335.112,3600,3,5,160,20,10
319.501,3800,3,5,160,20,10
302.557,4000,3,5,160,20,10
296.347,4200,3,5,160,20,10
0.0182753,4400,3,5,160,20,10
0.0182753,4600,3,5,160,20,10
0.432404,4800,3,5,160,20,10
0.541474,5000,3,5,160,20,10
37.3106,5200,3,5,160,20,10
75.7221,5400,3,5,160,20,10
49.294,5600,3,5,160,20,10
127.971,5800,3,5,160,20,10
40.3565,6000,3,5,160,20,10
101.019,6200,3,5,160,20,10
139.349,6400,3,5,160,20,10
0.0182753,6600,3,5,160,20,10
0.0182753,6800,3,5,160,20,10
0.0182753,7000,3,5,160,20,10
38.7008,7200,3,5,160,20,10
1.06166,7400,3,5,160,20,10
73.0816,7600,3,5,160,20,10
53.418,7800,3,5,160,20,10
89.6436,8000,3,5,160,20,10
45.6349,8200,3,5,160,20,10
86.5533,8400,3,5,160,20,10
79.8774,8600,3,5,160,20,10
0.0182753,8800,3,5,160,20,10
0.0182753,9000,3,5,160,20,10
0.155206,9200,3,5,160,20,10
0.0945635,9400,3,5,160,20,10
84.5823,9600,3,5,160,20,10
3.57294,9800,3,5,160,20,10
65.6584,10000,3,5,160,20,10
