Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,2.4,40,,8
,,,2.4,40,,8
158.941,600,3,2.4,40,20,8
167.319,800,3,2.4,40,20,8
173.516,1000,3,2.4,40,20,8
178.981,1200,3,2.4,40,20,8
182.207,1400,3,2.4,40,20,8
185.311,1600,3,2.4,40,20,8
187.21,1800,3,2.4,40,20,8
0.0168427,2000,3,2.4,40,20,8
0.0168427,2200,3,2.4,40,20,8
13.6474,2400,3,2.4,40,20,8
21.3572,2600,3,2.4,40,20,8
65.6891,2800,3,2.4,40,20,8
89.7746,3000,3,2.4,40,20,8
96.3838,3200,3,2.4,40,20,8
120.487,3400,3,2.4,40,20,8
116.929,3600,3,2.4,40,20,8
111.296,3800,3,2.4,40,20,8
104.917,4000,3,2.4,40,20,8
102.537,4200,3,2.4,40,20,8
0.0168427,4400,3,2.4,40,20,8
0.0168427,4600,3,2.4,40,20,8
0.431162,4800,3,2.4,40,20,8
0.766996,5000,3,2.4,40,20,8
21.5277,5200,3,2.4,40,20,8
31.7131,5400,3,2.4,40,20,8
29.6561,5600,3,2.4,40,20,8
38.0633,5800,3,2.4,40,20,8
26.8764,6000,3,2.4,40,20,8
37.6184,6200,3,2.4,40,20,8
46.6773,6400,3,2.4,40,20,8
0.0168427,6600,3,2.4,40,20,8
0.0168427,6800,3,2.4,40,20,8
0.036591,7000,3,2.4,40,20,8
13.8082,7200,3,2.4,40,20,8
4.27999,7400,3,2.4,40,20,8
19.1881,7600,3,2.4,40,20,8
26.4644,7800,3,2.4,40,20,8
25.7822,8000,3,2.4,40,20,8
18.1577,8200,3,2.4,40,20,8
29.2344,8400,3,2.4,40,20,8
43.1966,8600,3,2.4,40,20,8
0.0168427,8800,3,2.4,40,20,8
0.0168427,9000,3,2.4,40,20,8
0.0168427,9200,3,2.4,40,20,8
6.46659,9400,3,2.4,40,20,8
9.79025,9600,3,2.4,40,20,8
3.36664,9800,3,2.4,40,20,8
15.8706,10000,3,2.4,40,20,8
