Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,6,160,,5
331.986,400,3,6,160,20,5
396.939,600,3,6,160,20,5
439.718,800,3,6,160,20,5
471.334,1000,3,6,160,20,5
493.246,1200,3,6,160,20,5
510.951,1400,3,6,160,20,5
527.707,1600,3,6,160,20,5
535.797,1800,3,6,160,20,5
0.0182753,2000,3,6,160,20,5
0.0182753,2200,3,6,160,20,5
22.9626,2400,3,6,160,20,5
43.6826,2600,3,6,160,20,5
214.308,2800,3,6,160,20,5
324.111,3000,3,6,160,20,5
279.933,3200,3,6,160,20,5
340.804,3400,3,6,160,20,5
335.058,3600,3,6,160,20,5
319.36,3800,3,6,160,20,5
302.433,4000,3,6,160,20,5
296.221,4200,3,6,160,20,5
0.0182753,4400,3,6,160,20,5
0.0401922,4600,3,6,160,20,5
0.469009,4800,3,6,160,20,5
0.379489,5000,3,6,160,20,5
36.013,5200,3,6,160,20,5
81.3124,5400,3,6,160,20,5
49.4185,5600,3,6,160,20,5
128.526,5800,3,6,160,20,5
39.9306,6000,3,6,160,20,5
99.124,6200,3,6,160,20,5
140.897,6400,3,6,160,20,5
0.0182753,6600,3,6,160,20,5
0.0182753,6800,3,6,160,20,5
0.0182753,7000,3,6,160,20,5
36.7842,7200,3,6,160,20,5
0.872813,7400,3,6,160,20,5
80.2192,7600,3,6,160,20,5
54.9311,7800,3,6,160,20,5
89.8656,8000,3,6,160,20,5
44.5738,8200,3,6,160,20,5
86.3904,8400,3,6,160,20,5
81.6848,8600,3,6,160,20,5
0.0182753,8800,3,6,160,20,5
0.0182753,9000,3,6,160,20,5
0.11297,9200,3,6,160,20,5
0.0945635,9400,3,6,160,20,5
82.4292,9600,3,6,160,20,5
3.02494,9800,3,6,160,20,5
67.8264,10000,3,6,160,20,5
