Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
83.5581,200,3,6,160,20,4
104.187,400,3,6,160,20,4
137.428,600,3,6,160,20,4
175.431,800,3,6,160,20,4
74.8621,1000,3,6,160,20,4
102.292,1200,3,6,160,20,4
137.54,1400,3,6,160,20,4
169.532,1600,3,6,160,20,4
191.092,1800,3,6,160,20,4
151.922,2000,3,6,160,20,4
167.535,2200,3,6,160,20,4
180.359,2400,3,6,160,20,4
191.958,2600,3,6,160,20,4
203.402,2800,3,6,160,20,4
175.73,3000,3,6,160,20,4
184.208,3200,3,6,160,20,4
191.829,3400,3,6,160,20,4
196.507,3600,3,6,160,20,4
204.092,3800,3,6,160,20,4
184.983,4000,3,6,160,20,4
192.551,4200,3,6,160,20,4
196.517,4400,3,6,160,20,4
199.468,4600,3,6,160,20,4
205.821,4800,3,6,160,20,4
192.082,5000,3,6,160,20,4
194.134,5200,3,6,160,20,4
199.265,5400,3,6,160,20,4
203.024,5600,3,6,160,20,4
204.424,5800,3,6,160,20,4
194.608,6000,3,6,160,20,4
197.297,6200,3,6,160,20,4
199.664,6400,3,6,160,20,4
202.418,6600,3,6,160,20,4
204.487,6800,3,6,160,20,4
197.671,7000,3,6,160,20,4
200.091,7200,3,6,160,20,4
203.589,7400,3,6,160,20,4
206.114,7600,3,6,160,20,4
204.026,7800,3,6,160,20,4
197.517,8000,3,6,160,20,4
199.34,8200,3,6,160,20,4
202.565,8400,3,6,160,20,4
206.324,8600,3,6,160,20,4
198.62,8800,3,6,160,20,4
200.04,9000,3,6,160,20,4
202.063,9200,3,6,160,20,4
203.037,9400,3,6,160,20,4
205.965,9600,3,6,160,20,4
200.021,9800,3,6,160,20,4
199.299,10000,3,6,160,20,4
