Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
568.431,200,3,6,160,20,7
621.986,400,3,6,160,20,7
645.173,600,3,6,160,20,7
650.199,800,3,6,160,20,7
591.14,1000,3,6,160,20,7
619.177,1200,3,6,160,20,7
642.46,1400,3,6,160,20,7
653.057,1600,3,6,160,20,7
656.799,1800,3,6,160,20,7
645.495,2000,3,6,160,20,7
651.636,2200,3,6,160,20,7
653.275,2400,3,6,160,20,7
657.152,2600,3,6,160,20,7
658.742,2800,3,6,160,20,7
650.642,3000,3,6,160,20,7
656.436,3200,3,6,160,20,7
659.415,3400,3,6,160,20,7
660.096,3600,3,6,160,20,7
662.651,3800,3,6,160,20,7
656.202,4000,3,6,160,20,7
656.609,4200,3,6,160,20,7
660.1,4400,3,6,160,20,7
658.519,4600,3,6,160,20,7
661.171,4800,3,6,160,20,7
654.977,5000,3,6,160,20,7
662.268,5200,3,6,160,20,7
661.087,5400,3,6,160,20,7
660.991,5600,3,6,160,20,7
664.109,5800,3,6,160,20,7
656.414,6000,3,6,160,20,7
660.206,6200,3,6,160,20,7
662.16,6400,3,6,160,20,7
660.804,6600,3,6,160,20,7
665.172,6800,3,6,160,20,7
657.608,7000,3,6,160,20,7
659.625,7200,3,6,160,20,7
659.279,7400,3,6,160,20,7
662.976,7600,3,6,160,20,7
659.213,7800,3,6,160,20,7
663.751,8000,3,6,160,20,7
659.534,8200,3,6,160,20,7
661.015,8400,3,6,160,20,7
663.533,8600,3,6,160,20,7
661.727,8800,3,6,160,20,7
661.049,9000,3,6,160,20,7
663.405,9200,3,6,160,20,7
659.473,9400,3,6,160,20,7
659.673,9600,3,6,160,20,7
662.672,9800,3,6,160,20,7
663.106,10000,3,6,160,20,7
