Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
121.408,200,3,2.4,40,20,1
147.555,400,3,2.4,40,20,1
162.212,600,3,2.4,40,20,1
170.246,800,3,2.4,40,20,1
146.434,1000,3,2.4,40,20,1
145.591,1200,3,2.4,40,20,1
161.856,1400,3,2.4,40,20,1
169.139,1600,3,2.4,40,20,1
172.953,1800,3,2.4,40,20,1
165.494,2000,3,2.4,40,20,1
169.004,2200,3,2.4,40,20,1
171.241,2400,3,2.4,40,20,1
173.322,2600,3,2.4,40,20,1
175.208,2800,3,2.4,40,20,1
170.779,3000,3,2.4,40,20,1
172.07,3200,3,2.4,40,20,1
173.898,3400,3,2.4,40,20,1
174.59,3600,3,2.4,40,20,1
175.869,3800,3,2.4,40,20,1
171.919,4000,3,2.4,40,20,1
173.55,4200,3,2.4,40,20,1
173.449,4400,3,2.4,40,20,1
174.545,4600,3,2.4,40,20,1
175.656,4800,3,2.4,40,20,1
173.321,5000,3,2.4,40,20,1
174.092,5200,3,2.4,40,20,1
174.924,5400,3,2.4,40,20,1
175.458,5600,3,2.4,40,20,1
175.557,5800,3,2.4,40,20,1
173.834,6000,3,2.4,40,20,1
174.279,6200,3,2.4,40,20,1
174.897,6400,3,2.4,40,20,1
175.08,6600,3,2.4,40,20,1
176.297,6800,3,2.4,40,20,1
174.329,7000,3,2.4,40,20,1
174.891,7200,3,2.4,40,20,1
175.138,7400,3,2.4,40,20,1
175.603,7600,3,2.4,40,20,1
175.813,7800,3,2.4,40,20,1
174.807,8000,3,2.4,40,20,1
174.908,8200,3,2.4,40,20,1
175.113,8400,3,2.4,40,20,1
176.152,8600,3,2.4,40,20,1
174.127,8800,3,2.4,40,20,1
174.629,9000,3,2.4,40,20,1
175.45,9200,3,2.4,40,20,1
175.167,9400,3,2.4,40,20,1
175.767,9600,3,2.4,40,20,1
174.272,9800,3,2.4,40,20,1
174.898,10000,3,2.4,40,20,1
