Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
88.4729,200,3,2.4,40,20,5
91.2188,400,3,2.4,40,20,5
96.464,600,3,2.4,40,20,5
101.006,800,3,2.4,40,20,5
89.6991,1000,3,2.4,40,20,5
90.7333,1200,3,2.4,40,20,5
96.4091,1400,3,2.4,40,20,5
100.242,1600,3,2.4,40,20,5
103.37,1800,3,2.4,40,20,5
98.324,2000,3,2.4,40,20,5
100.101,2200,3,2.4,40,20,5
101.627,2400,3,2.4,40,20,5
103.66,2600,3,2.4,40,20,5
105.584,2800,3,2.4,40,20,5
101.133,3000,3,2.4,40,20,5
102.164,3200,3,2.4,40,20,5
103.472,3400,3,2.4,40,20,5
104.442,3600,3,2.4,40,20,5
105.611,3800,3,2.4,40,20,5
102.234,4000,3,2.4,40,20,5
103.605,4200,3,2.4,40,20,5
104.129,4400,3,2.4,40,20,5
104.907,4600,3,2.4,40,20,5
106.007,4800,3,2.4,40,20,5
103.472,5000,3,2.4,40,20,5
103.722,5200,3,2.4,40,20,5
104.633,5400,3,2.4,40,20,5
105.48,5600,3,2.4,40,20,5
105.935,5800,3,2.4,40,20,5
103.929,6000,3,2.4,40,20,5
104.294,6200,3,2.4,40,20,5
104.925,6400,3,2.4,40,20,5
105.457,6600,3,2.4,40,20,5
105.81,6800,3,2.4,40,20,5
104.077,7000,3,2.4,40,20,5
104.756,7200,3,2.4,40,20,5
105.349,7400,3,2.4,40,20,5
105.602,7600,3,2.4,40,20,5
105.809,7800,3,2.4,40,20,5
104.211,8000,3,2.4,40,20,5
105.061,8200,3,2.4,40,20,5
105.242,8400,3,2.4,40,20,5
105.964,8600,3,2.4,40,20,5
104.046,8800,3,2.4,40,20,5
104.387,9000,3,2.4,40,20,5
104.902,9200,3,2.4,40,20,5
105.337,9400,3,2.4,40,20,5
105.99,9600,3,2.4,40,20,5
104.343,9800,3,2.4,40,20,5
104.849,10000,3,2.4,40,20,5
