Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,5,160,,7
,,,5,160,,7
397.101,600,3,5,160,20,7
439.925,800,3,5,160,20,7
471.418,1000,3,5,160,20,7
493.534,1200,3,5,160,20,7
511.118,1400,3,5,160,20,7
527.947,1600,3,5,160,20,7
536.029,1800,3,5,160,20,7
0.0182753,2000,3,5,160,20,7
0.0182753,2200,3,5,160,20,7
23.0167,2400,3,5,160,20,7
42.3781,2600,3,5,160,20,7
214.277,2800,3,5,160,20,7
324.313,3000,3,5,160,20,7
280.078,3200,3,5,160,20,7
340.954,3400,3,5,160,20,7
335.112,3600,3,5,160,20,7
319.501,3800,3,5,160,20,7
302.557,4000,3,5,160,20,7
296.347,4200,3,5,160,20,7
0.0182753,4400,3,5,160,20,7
0.0182753,4600,3,5,160,20,7
0.432404,4800,3,5,160,20,7
0.541474,5000,3,5,160,20,7
37.3106,5200,3,5,160,20,7
75.7221,5400,3,5,160,20,7
49.294,5600,3,5,160,20,7
127.971,5800,3,5,160,20,7
40.3565,6000,3,5,160,20,7
101.019,6200,3,5,160,20,7
139.349,6400,3,5,160,20,7
0.0182753,6600,3,5,160,20,7
0.0182753,6800,3,5,160,20,7
0.0182753,7000,3,5,160,20,7
38.7008,7200,3,5,160,20,7
1.06166,7400,3,5,160,20,7
73.0816,7600,3,5,160,20,7
53.418,7800,3,5,160,20,7
89.6436,8000,3,5,160,20,7
45.6349,8200,3,5,160,20,7
86.5533,8400,3,5,160,20,7
79.8774,8600,3,5,160,20,7
0.0182753,8800,3,5,160,20,7
0.0182753,9000,3,5,160,20,7
0.155206,9200,3,5,160,20,7
0.0945635,9400,3,5,160,20,7
84.5823,9600,3,5,160,20,7
3.57294,9800,3,5,160,20,7
65.6584,10000,3,5,160,20,7
