Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,5,160,,8
,,,5,160,,8
397.003,600,3,5,160,20,8
439.78,800,3,5,160,20,8
471.301,1000,3,5,160,20,8
493.371,1200,3,5,160,20,8
510.948,1400,3,5,160,20,8
527.757,1600,3,5,160,20,8
535.847,1800,3,5,160,20,8
0.0182753,2000,3,5,160,20,8
0.0182753,2200,3,5,160,20,8
22.6748,2400,3,5,160,20,8
42.246,2600,3,5,160,20,8
214.647,2800,3,5,160,20,8
324.153,3000,3,5,160,20,8
279.937,3200,3,5,160,20,8
340.827,3400,3,5,160,20,8
335.016,3600,3,5,160,20,8
319.4,3800,3,5,160,20,8
302.462,4000,3,5,160,20,8
296.263,4200,3,5,160,20,8
0.0182753,4400,3,5,160,20,8
0.0182753,4600,3,5,160,20,8
0.371364,4800,3,5,160,20,8
0.344814,5000,3,5,160,20,8
37.2625,5200,3,5,160,20,8
78.3469,5400,3,5,160,20,8
51.5675,5600,3,5,160,20,8
129.567,5800,3,5,160,20,8
40.6961,6000,3,5,160,20,8
97.587,6200,3,5,160,20,8
141.303,6400,3,5,160,20,8
0.0182753,6600,3,5,160,20,8
0.0182753,6800,3,5,160,20,8
0.0182753,7000,3,5,160,20,8
38.8977,7200,3,5,160,20,8
1.34162,7400,3,5,160,20,8
81.0369,7600,3,5,160,20,8
50.8486,7800,3,5,160,20,8
87.619,8000,3,5,160,20,8
45.304,8200,3,5,160,20,8
84.4199,8400,3,5,160,20,8
83.1333,8600,3,5,160,20,8
0.0182753,8800,3,5,160,20,8
0.0182753,9000,3,5,160,20,8
0.155206,9200,3,5,160,20,8
0.0945635,9400,3,5,160,20,8
82.9718,9600,3,5,160,20,8
3.42884,9800,3,5,160,20,8
68.0625,10000,3,5,160,20,8
