Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,2.4,40,,4
,,,2.4,40,,4
158.993,600,3,2.4,40,20,4
167.366,800,3,2.4,40,20,4
173.579,1000,3,2.4,40,20,4
179.03,1200,3,2.4,40,20,4
182.227,1400,3,2.4,40,20,4
185.272,1600,3,2.4,40,20,4
187.27,1800,3,2.4,40,20,4
0.0168427,2000,3,2.4,40,20,4
0.0168427,2200,3,2.4,40,20,4
12.8931,2400,3,2.4,40,20,4
20.4303,2600,3,2.4,40,20,4
66.2406,2800,3,2.4,40,20,4
88.6567,3000,3,2.4,40,20,4
96.2467,3200,3,2.4,40,20,4
120.435,3400,3,2.4,40,20,4
116.583,3600,3,2.4,40,20,4
111.546,3800,3,2.4,40,20,4
104.942,4000,3,2.4,40,20,4
102.559,4200,3,2.4,40,20,4
0.0168427,4400,3,2.4,40,20,4
0.0168427,4600,3,2.4,40,20,4
0.50615,4800,3,2.4,40,20,4
0.837435,5000,3,2.4,40,20,4
22.5223,5200,3,2.4,40,20,4
31.4334,5400,3,2.4,40,20,4
30.5411,5600,3,2.4,40,20,4
39.0115,5800,3,2.4,40,20,4
26.312,6000,3,2.4,40,20,4
36.4213,6200,3,2.4,40,20,4
46.3333,6400,3,2.4,40,20,4
0.0168427,6600,3,2.4,40,20,4
0.0168427,6800,3,2.4,40,20,4
0.0168427,7000,3,2.4,40,20,4
13.6248,7200,3,2.4,40,20,4
4.78812,7400,3,2.4,40,20,4
18.0047,7600,3,2.4,40,20,4
25.9911,7800,3,2.4,40,20,4
25.9393,8000,3,2.4,40,20,4
19.3875,8200,3,2.4,40,20,4
31.1504,8400,3,2.4,40,20,4
42.6877,8600,3,2.4,40,20,4
0.0168427,8800,3,2.4,40,20,4
0.0168427,9000,3,2.4,40,20,4
0.0542037,9200,3,2.4,40,20,4
6.81186,9400,3,2.4,40,20,4
9.86006,9600,3,2.4,40,20,4
3.31617,9800,3,2.4,40,20,4
15.2115,10000,3,2.4,40,20,4
