Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
124.275,200,3,2.4,40,20,8
155.782,400,3,2.4,40,20,8
173.616,600,3,2.4,40,20,8
183.317,800,3,2.4,40,20,8
132.959,1000,3,2.4,40,20,8
156.171,1200,3,2.4,40,20,8
174.315,1400,3,2.4,40,20,8
182.216,1600,3,2.4,40,20,8
185.879,1800,3,2.4,40,20,8
177.497,2000,3,2.4,40,20,8
181.763,2200,3,2.4,40,20,8
184.306,2400,3,2.4,40,20,8
186.484,2600,3,2.4,40,20,8
188.978,2800,3,2.4,40,20,8
183.021,3000,3,2.4,40,20,8
185.086,3200,3,2.4,40,20,8
186.425,3400,3,2.4,40,20,8
187.556,3600,3,2.4,40,20,8
189.067,3800,3,2.4,40,20,8
185.971,4000,3,2.4,40,20,8
186.64,4200,3,2.4,40,20,8
187.373,4400,3,2.4,40,20,8
187.714,4600,3,2.4,40,20,8
189.138,4800,3,2.4,40,20,8
186.42,5000,3,2.4,40,20,8
187.336,5200,3,2.4,40,20,8
187.963,5400,3,2.4,40,20,8
188.397,5600,3,2.4,40,20,8
188.622,5800,3,2.4,40,20,8
187.104,6000,3,2.4,40,20,8
187.535,6200,3,2.4,40,20,8
188.104,6400,3,2.4,40,20,8
188.28,6600,3,2.4,40,20,8
188.747,6800,3,2.4,40,20,8
187.481,7000,3,2.4,40,20,8
187.926,7200,3,2.4,40,20,8
188.596,7400,3,2.4,40,20,8
188.535,7600,3,2.4,40,20,8
188.533,7800,3,2.4,40,20,8
187.462,8000,3,2.4,40,20,8
188.239,8200,3,2.4,40,20,8
188.451,8400,3,2.4,40,20,8
188.508,8600,3,2.4,40,20,8
187.49,8800,3,2.4,40,20,8
187.877,9000,3,2.4,40,20,8
187.961,9200,3,2.4,40,20,8
188.429,9400,3,2.4,40,20,8
189.062,9600,3,2.4,40,20,8
187.641,9800,3,2.4,40,20,8
188.51,10000,3,2.4,40,20,8
