Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
196.561,200,3,2.4,40,20,10
200.876,400,3,2.4,40,20,10
208.957,600,3,2.4,40,20,10
210.74,800,3,2.4,40,20,10
205.103,1000,3,2.4,40,20,10
207.388,1200,3,2.4,40,20,10
209.148,1400,3,2.4,40,20,10
210.498,1600,3,2.4,40,20,10
211.699,1800,3,2.4,40,20,10
209.863,2000,3,2.4,40,20,10
210.795,2200,3,2.4,40,20,10
211.178,2400,3,2.4,40,20,10
211.688,2600,3,2.4,40,20,10
212.516,2800,3,2.4,40,20,10
210.977,3000,3,2.4,40,20,10
211.535,3200,3,2.4,40,20,10
211.974,3400,3,2.4,40,20,10
212.031,3600,3,2.4,40,20,10
212.629,3800,3,2.4,40,20,10
211.377,4000,3,2.4,40,20,10
211.719,4200,3,2.4,40,20,10
211.779,4400,3,2.4,40,20,10
211.93,4600,3,2.4,40,20,10
212.534,4800,3,2.4,40,20,10
211.263,5000,3,2.4,40,20,10
211.839,5200,3,2.4,40,20,10
212.258,5400,3,2.4,40,20,10
212.31,5600,3,2.4,40,20,10
212.38,5800,3,2.4,40,20,10
211.4,6000,3,2.4,40,20,10
211.998,6200,3,2.4,40,20,10
212.393,6400,3,2.4,40,20,10
212.112,6600,3,2.4,40,20,10
212.981,6800,3,2.4,40,20,10
211.949,7000,3,2.4,40,20,10
212.243,7200,3,2.4,40,20,10
212.17,7400,3,2.4,40,20,10
212.211,7600,3,2.4,40,20,10
212.454,7800,3,2.4,40,20,10
212.192,8000,3,2.4,40,20,10
211.918,8200,3,2.4,40,20,10
212.011,8400,3,2.4,40,20,10
212.611,8600,3,2.4,40,20,10
211.863,8800,3,2.4,40,20,10
211.956,9000,3,2.4,40,20,10
212.368,9200,3,2.4,40,20,10
212.323,9400,3,2.4,40,20,10
212.334,9600,3,2.4,40,20,10
212.068,9800,3,2.4,40,20,10
212.501,10000,3,2.4,40,20,10
