Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
201.79,200,3,6,160,20,5
259.699,400,3,6,160,20,5
304.185,600,3,6,160,20,5
344.871,800,3,6,160,20,5
260.056,1000,3,6,160,20,5
254.829,1200,3,6,160,20,5
302.294,1400,3,6,160,20,5
338.868,1600,3,6,160,20,5
359.297,1800,3,6,160,20,5
320.147,2000,3,6,160,20,5
336.413,2200,3,6,160,20,5
349.366,2400,3,6,160,20,5
362.367,2600,3,6,160,20,5
373.308,2800,3,6,160,20,5
345.553,3000,3,6,160,20,5
352.91,3200,3,6,160,20,5
361.876,3400,3,6,160,20,5
366.373,3600,3,6,160,20,5
371.486,3800,3,6,160,20,5
352.439,4000,3,6,160,20,5
362.508,4200,3,6,160,20,5
362.43,4400,3,6,160,20,5
367.354,4600,3,6,160,20,5
375.181,4800,3,6,160,20,5
361.375,5000,3,6,160,20,5
362.806,5200,3,6,160,20,5
367.549,5400,3,6,160,20,5
371.419,5600,3,6,160,20,5
373.689,5800,3,6,160,20,5
363.278,6000,3,6,160,20,5
366.278,6200,3,6,160,20,5
368.313,6400,3,6,160,20,5
371.537,6600,3,6,160,20,5
374.458,6800,3,6,160,20,5
365.326,7000,3,6,160,20,5
369.529,7200,3,6,160,20,5
371.79,7400,3,6,160,20,5
374.557,7600,3,6,160,20,5
371.392,7800,3,6,160,20,5
366.996,8000,3,6,160,20,5
368.211,8200,3,6,160,20,5
370.447,8400,3,6,160,20,5
375.382,8600,3,6,160,20,5
367.823,8800,3,6,160,20,5
368.929,9000,3,6,160,20,5
370.757,9200,3,6,160,20,5
370.81,9400,3,6,160,20,5
374.855,9600,3,6,160,20,5
368.13,9800,3,6,160,20,5
369.326,10000,3,6,160,20,5
