Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,5,160,,6
,,,5,160,,6
396.778,600,3,5,160,20,6
439.51,800,3,5,160,20,6
471.091,1000,3,5,160,20,6
493.068,1200,3,5,160,20,6
510.798,1400,3,5,160,20,6
527.51,1600,3,5,160,20,6
535.612,1800,3,5,160,20,6
0.0182753,2000,3,5,160,20,6
0.0182753,2200,3,5,160,20,6
22.1452,2400,3,5,160,20,6
42.1299,2600,3,5,160,20,6
213.782,2800,3,5,160,20,6
323.961,3000,3,5,160,20,6
279.826,3200,3,5,160,20,6
340.647,3400,3,5,160,20,6
334.944,3600,3,5,160,20,6
319.248,3800,3,5,160,20,6
302.316,4000,3,5,160,20,6
296.132,4200,3,5,160,20,6
0.0182753,4400,3,5,160,20,6
0.0182753,4600,3,5,160,20,6
0.373408,4800,3,5,160,20,6
0.295012,5000,3,5,160,20,6
38.4419,5200,3,5,160,20,6
75.5285,5400,3,5,160,20,6
51.8745,5600,3,5,160,20,6
129.85,5800,3,5,160,20,6
40.1855,6000,3,5,160,20,6
99.4323,6200,3,5,160,20,6
141.912,6400,3,5,160,20,6
0.0182753,6600,3,5,160,20,6
0.0182753,6800,3,5,160,20,6
0.0992758,7000,3,5,160,20,6
36.8958,7200,3,5,160,20,6
0.828518,7400,3,5,160,20,6
80.3898,7600,3,5,160,20,6
52.2137,7800,3,5,160,20,6
86.7453,8000,3,5,160,20,6
44.836,8200,3,5,160,20,6
86.1586,8400,3,5,160,20,6
82.6017,8600,3,5,160,20,6
0.0182753,8800,3,5,160,20,6
0.0182753,9000,3,5,160,20,6
0.11297,9200,3,5,160,20,6
0.132508,9400,3,5,160,20,6
83.6786,9600,3,5,160,20,6
3.30373,9800,3,5,160,20,6
67.1928,10000,3,5,160,20,6
