Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
88.0911,200,3,6,160,20,8
184.304,400,3,6,160,20,8
273.591,600,3,6,160,20,8
332.783,800,3,6,160,20,8
94.4281,1000,3,6,160,20,8
173.593,1200,3,6,160,20,8
271.055,1400,3,6,160,20,8
327.935,1600,3,6,160,20,8
353.302,1800,3,6,160,20,8
298.022,2000,3,6,160,20,8
323.717,2200,3,6,160,20,8
341.571,2400,3,6,160,20,8
357.115,2600,3,6,160,20,8
370.011,2800,3,6,160,20,8
333.944,3000,3,6,160,20,8
347.933,3200,3,6,160,20,8
359.637,3400,3,6,160,20,8
363.908,3600,3,6,160,20,8
373.567,3800,3,6,160,20,8
347.224,4000,3,6,160,20,8
357.416,4200,3,6,160,20,8
362.115,4400,3,6,160,20,8
366.982,4600,3,6,160,20,8
374.36,4800,3,6,160,20,8
355.4,5000,3,6,160,20,8
362.624,5200,3,6,160,20,8
367.439,5400,3,6,160,20,8
370.55,5600,3,6,160,20,8
375.126,5800,3,6,160,20,8
361.246,6000,3,6,160,20,8
364.165,6200,3,6,160,20,8
368.601,6400,3,6,160,20,8
370.946,6600,3,6,160,20,8
374.627,6800,3,6,160,20,8
363.192,7000,3,6,160,20,8
366.988,7200,3,6,160,20,8
370.739,7400,3,6,160,20,8
376.865,7600,3,6,160,20,8
369.453,7800,3,6,160,20,8
366.986,8000,3,6,160,20,8
367.719,8200,3,6,160,20,8
371.014,8400,3,6,160,20,8
375.12,8600,3,6,160,20,8
367.031,8800,3,6,160,20,8
367.439,9000,3,6,160,20,8
371.761,9200,3,6,160,20,8
368.77,9400,3,6,160,20,8
373.764,9600,3,6,160,20,8
369.945,9800,3,6,160,20,8
368.396,10000,3,6,160,20,8
