QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,2.4,40,7,60
0,0,130813,28898,1,150,2.4,40,7,60
250394,33,317814,86792,2,150,2.4,40,7,60
527499,36,493758,141454,3,150,2.4,40,7,60
802945,36,608242,177383,4,150,2.4,40,7,60
1077431,56,773980,232995,5,150,2.4,40,7,60
1351241,45,924569,283666,6,150,2.4,40,7,60
1623453,56,1055030,327591,7,150,2.4,40,7,60
1894975,56,1139071,358179,8,150,2.4,40,7,60
2166744,56,1232813,394641,9,150,2.4,40,7,60
2438405,56,1349000,438508,10,150,2.4,40,7,60
2710103,50,1453852,479851,11,150,2.4,40,7,60
2980850,50,1535004,508871,12,150,2.4,40,7,60
3251637,56,1641799,552312,13,150,2.4,40,7,60
3523216,26,1736368,591234,14,150,2.4,40,7,60
3793623,56,1786474,615420,15,150,2.4,40,7,60
4063861,56,1819531,631672,16,150,2.4,40,7,60
4334239,56,1862370,652988,17,150,2.4,40,7,60
4605544,13,1884060,664045,18,150,2.4,40,7,60
4876000,56,1886459,665184,19,150,2.4,40,7,60
5145582,56,1886459,665184,20,150,2.4,40,7,60
5415006,56,1886459,665184,21,150,2.4,40,7,60
5684375,56,1886459,665184,22,150,2.4,40,7,60
5953931,47,1886459,665184,23,150,2.4,40,7,60
6223558,56,1886459,665184,24,150,2.4,40,7,60
6493342,52,1886459,665184,25,150,2.4,40,7,60
6763004,25,1886459,665184,26,150,2.4,40,7,60
7032286,56,1886459,665184,27,150,2.4,40,7,60
7300905,2,1886459,665184,28,150,2.4,40,7,60
7569536,2,1886459,665184,29,150,2.4,40,7,60
7838120,3,1886459,665184,30,150,2.4,40,7,60
8106240,52,1886459,665184,31,150,2.4,40,7,60
8374392,56,1886459,665184,32,150,2.4,40,7,60
8642614,2,1886459,665184,33,150,2.4,40,7,60
8910511,2,1886459,665184,34,150,2.4,40,7,60
9178436,56,1886459,665184,35,150,2.4,40,7,60
9446387,56,1886459,665184,36,150,2.4,40,7,60
9714079,2,1886459,665184,37,150,2.4,40,7,60
9982095,56,1886459,665184,38,150,2.4,40,7,60
10250144,56,1886459,665184,39,150,2.4,40,7,60
10517931,56,1886459,665184,40,150,2.4,40,7,60
10785945,2,1886459,665184,41,150,2.4,40,7,60
11053650,47,1886459,665184,42,150,2.4,40,7,60
11321092,40,1886459,665184,43,150,2.4,40,7,60
11588772,56,1886459,665184,44,150,2.4,40,7,60
11856456,2,1886459,665184,45,150,2.4,40,7,60
12123779,56,1886459,665184,46,150,2.4,40,7,60
12391402,44,1886459,665184,47,150,2.4,40,7,60
12659004,54,1886459,665184,48,150,2.4,40,7,60
12926504,56,1886459,665184,49,150,2.4,40,7,60
13194378,56,1886459,665184,50,150,2.4,40,7,60
13461937,47,1886459,665184,51,150,2.4,40,7,60
13729406,47,1886459,665184,52,150,2.4,40,7,60
13996869,44,1886459,665184,53,150,2.4,40,7,60
14264188,0,1886459,665184,54,150,2.4,40,7,60
14531745,2,1886459,665184,55,150,2.4,40,7,60
14799505,35,1886459,665184,56,150,2.4,40,7,60
15067401,34,1886459,665184,57,150,2.4,40,7,60
15334835,19,1886459,665184,58,150,2.4,40,7,60
15602645,8,1886459,665184,59,150,2.4,40,7,60
15870301,56,1886459,665184,60,150,2.4,40,7,60
0,0,0,0,0,150,5,160,7,60
0,0,100402,29733,1,150,5,160,7,60
1093888,31,483039,330914,2,150,5,160,7,60
2265326,30,717867,503697,3,150,5,160,7,60
3436906,32,849320,599797,4,150,5,160,7,60
4608670,30,973015,688264,5,150,5,160,7,60
5780210,31,1080970,773442,6,150,5,160,7,60
6951593,32,1168670,853897,7,150,5,160,7,60
8122961,46,1229185,914412,8,150,5,160,7,60
9294144,42,1297384,982611,9,150,5,160,7,60
10464737,41,1384958,1070185,10,150,5,160,7,60
11635376,31,1470256,1155483,11,150,5,160,7,60
12805687,56,1567375,1252602,12,150,5,160,7,60
13975829,42,1673641,1358868,13,150,5,160,7,60
15145383,56,1799210,1484437,14,150,5,160,7,60
16315155,53,1917846,1603073,15,150,5,160,7,60
17484376,55,2047139,1732366,16,150,5,160,7,60
18652648,36,2210762,1895989,17,150,5,160,7,60
19820245,45,2398799,2084026,18,150,5,160,7,60
20986812,37,2623171,2308398,19,150,5,160,7,60
22153131,48,2854161,2539388,20,150,5,160,7,60
23319210,46,3096409,2781636,21,150,5,160,7,60
24484255,56,3373247,3058474,22,150,5,160,7,60
25649000,47,3657788,3343015,23,150,5,160,7,60
26813805,26,3946357,3631584,24,150,5,160,7,60
27978319,54,4237021,3922248,25,150,5,160,7,60
29142770,56,4537170,4222397,26,150,5,160,7,60
30306808,51,4850326,4535553,27,150,5,160,7,60
31470864,56,5161390,4846617,28,150,5,160,7,60
32634991,45,5473745,5158972,29,150,5,160,7,60
33798410,53,5807762,5492989,30,150,5,160,7,60
34961572,46,6150774,5836001,31,150,5,160,7,60
36124799,44,6492610,6177837,32,150,5,160,7,60
37287868,56,6839206,6524433,33,150,5,160,7,60
38450998,56,7183644,6868871,34,150,5,160,7,60
39614089,55,7528521,7213748,35,150,5,160,7,60
40777127,38,7876597,7561824,36,150,5,160,7,60
41940099,31,8226766,7911993,37,150,5,160,7,60
43102790,56,8588134,8273361,38,150,5,160,7,60
44265167,45,8955813,8641040,39,150,5,160,7,60
45427686,12,9323473,9008700,40,150,5,160,7,60
46590176,27,9691201,9376428,41,150,5,160,7,60
47752605,55,10060017,9745244,42,150,5,160,7,60
48915002,55,10429906,10115133,43,150,5,160,7,60
50077411,45,10800729,10485956,44,150,5,160,7,60
51239821,56,11172949,10858176,45,150,5,160,7,60
52401703,44,11550644,11235871,46,150,5,160,7,60
53562898,47,11948350,11633577,47,150,5,160,7,60
54724097,56,12349952,12035179,48,150,5,160,7,60
55885532,56,12742421,12427648,49,150,5,160,7,60
57046516,56,13150074,12835301,50,150,5,160,7,60
58207627,35,13555207,13240434,51,150,5,160,7,60
59368553,56,13962435,13647662,52,150,5,160,7,60
60529576,56,14371788,14057015,53,150,5,160,7,60
61690351,56,14785764,14470991,54,150,5,160,7,60
62851085,36,15202832,14888059,55,150,5,160,7,60
64011044,56,15648961,15334188,56,150,5,160,7,60
65171036,56,16098286,15783513,57,150,5,160,7,60
66330516,56,16579230,16264457,58,150,5,160,7,60
67489781,56,17070240,16755467,59,150,5,160,7,60
68648674,55,17571759,17256986,60,150,5,160,7,60
0,0,0,0,0,150,6,160,7,60
0,0,81132,28850,1,150,6,160,7,60
1123391,35,526793,418387,2,150,6,160,7,60
2294283,48,738301,589262,3,150,6,160,7,60
3465258,33,939573,771285,4,150,6,160,7,60
4636124,41,1125232,940120,5,150,6,160,7,60
5806787,40,1282210,1091126,6,150,6,160,7,60
6977374,56,1441281,1249846,7,150,6,160,7,60
8147958,33,1589055,1397620,8,150,6,160,7,60
9318353,56,1748097,1556662,9,150,6,160,7,60
10487925,43,1953089,1761654,10,150,6,160,7,60
11657292,36,2160644,1969209,11,150,6,160,7,60
12826435,53,2387324,2195889,12,150,6,160,7,60
13995759,56,2607395,2415960,13,150,6,160,7,60
15162134,53,3018070,2826635,14,150,6,160,7,60
16327481,34,3484129,3292694,15,150,6,160,7,60
17492406,56,3968175,3776740,16,150,6,160,7,60
18657408,36,4458402,4266967,17,150,6,160,7,60
19821893,14,4972622,4781187,18,150,6,160,7,60
20985513,38,5527334,5335899,19,150,6,160,7,60
22149174,47,6087350,5895915,20,150,6,160,7,60
23312902,55,6646966,6455531,21,150,6,160,7,60
24476758,46,7205777,7014342,22,150,6,160,7,60
25639991,45,7798044,7606609,23,150,6,160,7,60
26802419,2,8438752,8247317,24,150,6,160,7,60
27963904,46,9130460,8939025,25,150,6,160,7,60
29125515,35,9831433,9639998,26,150,6,160,7,60
