MCS,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,62.576,0,20,3
0,62.576,5,20,3
0,62.576,10,20,3
0,62.576,15,20,3
0,62.576,20,20,3
0,62.576,25,20,3
0,62.576,30,20,3
0,62.5761,35,20,3
0,62.5761,40,20,3
0,62.5761,45,20,3
0,0,50,20,3
0,0,55,20,3
0,0,60,20,3
0,0,65,20,3
0,0,70,20,3
0,0,75,20,3
0,0,80,20,3
0,0,85,20,3
0,0,90,20,3
0,0,95,20,3
0,0,100,20,3
1,123.67,0,20,3
1,123.665,5,20,3
1,123.665,10,20,3
1,123.663,15,20,3
1,123.66,20,20,3
1,123.656,25,20,3
1,123.654,30,20,3
1,123.654,35,20,3
1,123.654,40,20,3
1,122.665,45,20,3
1,0,50,20,3
1,0,55,20,3
1,0,60,20,3
1,0,65,20,3
1,0,70,20,3
1,0,75,20,3
1,0,80,20,3
1,0,85,20,3
1,0,90,20,3
1,0,95,20,3
1,0,100,20,3
2,179.782,0,20,3
2,179.779,5,20,3
2,179.778,10,20,3
2,179.773,15,20,3
2,179.772,20,20,3
2,179.77,25,20,3
2,179.77,30,20,3
2,179.751,35,20,3
2,164.504,40,20,3
2,0.0161647,45,20,3
2,0,50,20,3
2,0,55,20,3
2,0,60,20,3
2,0,65,20,3
2,0,70,20,3
2,0,75,20,3
2,0,80,20,3
2,0,85,20,3
2,0,90,20,3
2,0,95,20,3
2,0,100,20,3
3,234.854,0,20,3
3,234.852,5,20,3
3,234.846,10,20,3
3,234.838,15,20,3
3,234.835,20,20,3
3,234.833,25,20,3
3,226.959,30,20,3
3,0.0161647,35,20,3
3,0.0161647,40,20,3
3,0.0161647,45,20,3
3,0,50,20,3
3,0,55,20,3
3,0,60,20,3
3,0,65,20,3
3,0,70,20,3
3,0,75,20,3
3,0,80,20,3
3,0,85,20,3
3,0,90,20,3
3,0,95,20,3
3,0,100,20,3
4,333.769,0,20,3
4,333.76,5,20,3
4,333.755,10,20,3
4,333.748,15,20,3
4,333.734,20,20,3
4,266.827,25,20,3
4,0.0161647,30,20,3
4,0.0161647,35,20,3
4,0.0161647,40,20,3
4,0.0161647,45,20,3
4,0,50,20,3
4,0,55,20,3
4,0,60,20,3
4,0,65,20,3
4,0,70,20,3
4,0,75,20,3
4,0,80,20,3
4,0,85,20,3
4,0,90,20,3
4,0,95,20,3
4,0,100,20,3
5,422.806,0,20,3
5,422.794,5,20,3
5,422.776,10,20,3
5,422.76,15,20,3
5,0.0161647,20,20,3
5,0.0161647,25,20,3
5,0.0161647,30,20,3
5,0.0161647,35,20,3
5,0.0161647,40,20,3
5,0.0161647,45,20,3
5,0,50,20,3
5,0,55,20,3
5,0,60,20,3
5,0,65,20,3
5,0,70,20,3
5,0,75,20,3
5,0,80,20,3
5,0,85,20,3
5,0,90,20,3
5,0,95,20,3
5,0,100,20,3
6,468.238,0,20,3
6,468.217,5,20,3
6,468.202,10,20,3
6,457.524,15,20,3
6,0.0161647,20,20,3
6,0.0161647,25,20,3
6,0.0161647,30,20,3
6,0.0161647,35,20,3
6,0.0161647,40,20,3
6,0.0161647,45,20,3
6,0,50,20,3
6,0,55,20,3
6,0,60,20,3
6,0,65,20,3
6,0,70,20,3
6,0,75,20,3
6,0,80,20,3
6,0,85,20,3
6,0,90,20,3
6,0,95,20,3
6,0,100,20,3
7,509.271,0,20,3
7,509.247,5,20,3
7,509.231,10,20,3
7,410.018,15,20,3
7,0.0161647,20,20,3
7,0.0161647,25,20,3
7,0.0161647,30,20,3
7,0.0161647,35,20,3
7,0.0161647,40,20,3
7,0.0161647,45,20,3
7,0,50,20,3
7,0,55,20,3
7,0,60,20,3
7,0,65,20,3
7,0,70,20,3
7,0,75,20,3
7,0,80,20,3
7,0,85,20,3
7,0,90,20,3
7,0,95,20,3
7,0,100,20,3
8,576.645,0,20,3
8,576.625,5,20,3
8,564.286,10,20,3
8,0.0161647,15,20,3
8,0.0161647,20,20,3
8,0.0161647,25,20,3
8,0.0161647,30,20,3
8,0.0161647,35,20,3
8,0.0161647,40,20,3
8,0.0161647,45,20,3
8,0,50,20,3
8,0,55,20,3
8,0,60,20,3
8,0,65,20,3
8,0,70,20,3
8,0,75,20,3
8,0,80,20,3
8,0,85,20,3
8,0,90,20,3
8,0,95,20,3
8,0,100,20,3
9,628.624,0,20,3
9,628.6,5,20,3
9,351.417,10,20,3
9,0.0161647,15,20,3
9,0.0161647,20,20,3
9,0.0161647,25,20,3
9,0.0161647,30,20,3
9,0.0161647,35,20,3
9,0.0161647,40,20,3
9,0.0161647,45,20,3
9,0,50,20,3
9,0,55,20,3
9,0,60,20,3
9,0,65,20,3
9,0,70,20,3
9,0,75,20,3
9,0,80,20,3
9,0,85,20,3
9,0,90,20,3
9,0,95,20,3
