MCS,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
11,0.0161647,45,20,10
11,0,50,20,10
11,0,55,20,10
11,0,60,20,10
11,0,65,20,10
11,0,70,20,10
11,0,75,20,10
11,0,80,20,10
11,0,85,20,10
11,0,90,20,10
11,0,95,20,10
11,0,100,20,10
